transcript	theta_n1	theta_n2	half_life_rep1	half_life_rep2	mean_half_life
SDPR	0.5617	0.4939	0.8404	1.0179	0.9291
SEC11A	0.1307	0.1226	4.9480	5.2984	5.1232
SEC13	0.1235	0.1331	5.2585	4.8540	5.0563
SEC14L1	0.4478	0.4923	1.1673	1.0224	1.0949
SEC16A	0.4794	0.4769	1.0617	1.0696	1.0656
SEC22B	0.2161	0.2372	2.8470	2.5594	2.7032
SEC22C	0.4489	0.4583	1.1634	1.1306	1.1470
SEC23B	0.2567	0.3706	2.3364	1.4970	1.9167
SEC23IP	0.4099	0.3799	1.3142	1.4506	1.3824
SEC24A	0.4782	0.4660	1.0656	1.1050	1.0853
SEC24B	0.7063	0.6757	0.5657	0.6156	0.5906
SEC24C	0.1654	0.1419	3.8340	4.5286	4.1813
SEC24D	0.3576	0.4176	1.5663	1.2823	1.4243
SEC31A	0.1200	0.1448	5.4220	4.4298	4.9259
SEC61A1	0.1787	0.1963	3.5209	3.1724	3.3467
SEC62	0.2874	0.2923	2.0460	2.0052	2.0256
SEC63	0.1586	0.1819	4.0130	3.4527	3.7329
SECISBP2L	0.8141	0.8144	0.4120	0.4116	0.4118
SEH1L	0.1612	0.1488	3.9443	4.3030	4.1237
SEL1L3	0.3218	0.3301	1.7851	1.7299	1.7575
SELENOI	0.3942	0.4177	1.3832	1.2819	1.3325
SELENOO	0.4506	0.4935	1.1572	1.0190	1.0881
SELENOS	0.3404	0.3860	1.6656	1.4209	1.5432
SELENOT	0.4289	0.3658	1.2373	1.5220	1.3796
SEM1	0.0975	0.1270	6.7544	5.1042	5.9293
SEMA4B	0.8414	0.7889	0.3764	0.4457	0.4111
SEMA4C	0.8021	0.8538	0.4279	0.3606	0.3942
SENP1	0.4354	0.3911	1.2126	1.3971	1.3049
SENP2	0.1694	0.1605	3.7339	3.9629	3.8484
SENP5	0.5383	0.5597	0.8969	0.8451	0.8710
SENP6	0.3714	0.4407	1.4931	1.1930	1.3431
SEPHS1	0.1524	0.1587	4.1924	4.0119	4.1021
SEPHS2	0.6556	0.6770	0.6502	0.6133	0.6317
11-Sep	0.0921	0.1055	7.1739	6.2198	6.6969
2-Sep	0.0845	0.1102	7.8515	5.9381	6.8948
5-Sep	0.3083	0.2848	1.8807	2.0678	1.9742
6-Sep	0.1029	0.1345	6.3850	4.8000	5.5925
7-Sep	0.1203	0.1117	5.4092	5.8536	5.6314
8-Sep	0.0995	0.0696	6.6135	9.6099	8.1117
9-Sep	0.1675	0.1862	3.7808	3.3651	3.5729
SERBP1	0.1212	0.1249	5.3645	5.1966	5.2805
SERF2	0.0764	0.0788	8.7195	8.4468	8.5832
SERINC1	0.2759	0.2831	2.1469	2.0830	2.1150
SERINC3	0.1639	0.1572	3.8726	4.0522	3.9624
SERP1	0.1517	0.1652	4.2142	3.8398	4.0270
SERPINB6	0.1166	0.1413	5.5890	4.5518	5.0704
SERPINB9	0.3139	0.2533	1.8401	2.3728	2.1065
SERPINH1	0.1963	0.1841	3.1719	3.4066	3.2892
SERTAD2	0.9113	0.8810	0.2862	0.3256	0.3059
SESN2	0.8121	0.7442	0.4146	0.5083	0.4615
SET	0.0912	0.1005	7.2458	6.5432	6.8945
SETD1A	0.8170	0.7955	0.4082	0.4367	0.4224
SETD1B	0.8105	0.7546	0.4167	0.4934	0.4550
SETD2	0.5956	0.5676	0.7656	0.8268	0.7962
SETD4	0.7412	0.6331	0.5128	0.6912	0.6020
SETD5	0.6416	0.6702	0.6755	0.6249	0.6502
SETDB1	0.4647	0.4559	1.1091	1.1390	1.1240
SETMAR	0.7003	0.7278	0.5752	0.5326	0.5539
SETX	0.4934	0.5170	1.0194	0.9526	0.9860
SF1	0.2735	0.3136	2.1697	1.8417	2.0057
SF3A1	0.1539	0.1791	4.1482	3.5132	3.8307
SF3A2	0.2633	0.2319	2.2679	2.6275	2.4477
SF3A3	0.1266	0.1328	5.1188	4.8649	4.9918
SF3B1	0.1465	0.1728	4.3763	3.6526	4.0144
SF3B2	0.1799	0.1776	3.4944	3.5450	3.5197
SF3B3	0.2676	0.2742	2.2253	2.1632	2.1942
SF3B4	0.4037	0.4233	1.3409	1.2591	1.3000
SFMBT2	0.7100	0.6607	0.5600	0.6412	0.6006
SFPQ	0.2270	0.2368	2.6924	2.5649	2.6287
SFSWAP	0.5229	0.5160	0.9367	0.9551	0.9459
SFT2D1	0.3469	0.5212	1.6269	0.9413	1.2841
SFT2D2	0.2013	0.1854	3.0837	3.3798	3.2318
SFXN1	0.1325	0.1702	4.8766	3.7151	4.2958
SGF29	0.5753	0.5937	0.8094	0.7697	0.7896
SGMS1	0.7669	0.8052	0.4760	0.4238	0.4499
SGO1	0.4247	0.4644	1.2539	1.1101	1.1820
SGO2	0.4044	0.4064	1.3375	1.3288	1.3332
SGPL1	0.6449	0.6956	0.6695	0.5827	0.6261
SGTA	0.2814	0.3254	2.0979	1.7611	1.9295
SH2B1	0.4507	0.4132	1.1569	1.3003	1.2286
SH2B3	0.7266	0.6955	0.5345	0.5829	0.5587
SH3BP1	0.2766	0.4385	2.1405	1.2010	1.6708
SH3BP5	0.2860	0.4334	2.0579	1.2202	1.6391
SH3BP5L	0.5794	0.5509	0.8003	0.8660	0.8332
SH3GL1	0.4189	0.4548	1.2771	1.1428	1.2100
SH3GLB1	0.2752	0.1989	2.1532	3.1251	2.6392
SH3PXD2A	0.6567	0.7164	0.6482	0.5501	0.5992
SHC1	0.3304	0.3639	1.7283	1.5321	1.6302
SHCBP1	0.8555	0.9017	0.3583	0.2988	0.3285
SHMT2	0.0776	0.1169	8.5853	5.5737	7.0795
SHOC2	0.7602	0.6674	0.4854	0.6297	0.5575
SHPRH	0.5195	0.5723	0.9456	0.8160	0.8808
SHQ1	0.4951	0.3872	1.0143	1.4156	1.2149
SHTN1	0.3646	0.4859	1.5283	1.0419	1.2851
SIAH2	0.7943	0.8365	0.4383	0.3828	0.4105
SIK2	0.6052	0.7421	0.7458	0.5115	0.6286
SIK3	0.6142	0.7194	0.7278	0.5455	0.6366
SIKE1	0.2437	0.2062	2.4819	3.0009	2.7414
SIMC1	0.5806	0.5197	0.7977	0.9453	0.8715
SIN3A	0.7558	0.7639	0.4917	0.4802	0.4860
SIN3B	0.3814	0.3471	1.4433	1.6257	1.5345
SIPA1	0.1637	0.2092	3.8772	2.9528	3.4150
SIRT1	0.8260	0.8462	0.3964	0.3703	0.3833
SIRT7	0.6420	0.6606	0.6748	0.6415	0.6582
SKA2	0.1711	0.1704	3.6928	3.7097	3.7013
SKA3	0.3458	0.4073	1.6336	1.3253	1.4795
SKI	0.5521	0.5166	0.8631	0.9536	0.9083
SKIL	0.6458	0.6400	0.6678	0.6785	0.6731
SKIV2L	0.3026	0.1995	1.9232	3.1142	2.5187
SKIV2L2	0.1330	0.1177	4.8558	5.5347	5.1952
SKP1	0.0909	0.0713	7.2743	9.3660	8.3201
SKP2	0.2196	0.2240	2.7952	2.7328	2.7640
SLAIN2	0.5494	0.5608	0.8696	0.8425	0.8560
SLBP	0.5934	0.5729	0.7703	0.8148	0.7926
SLC10A7	0.6042	0.6926	0.7478	0.5876	0.6677
SLC11A2	0.6592	0.4813	0.6439	1.0561	0.8500
SLC12A2	0.1903	0.1937	3.2843	3.2192	3.2518
SLC12A4	0.5862	0.5498	0.7856	0.8685	0.8271
SLC12A7	0.4146	0.3316	1.2944	1.7205	1.5075
SLC16A1	0.2614	0.2760	2.2872	2.1465	2.2168
SLC19A1	0.3690	0.3420	1.5055	1.6558	1.5806
SLC1A4	0.3922	0.3765	1.3921	1.4671	1.4296
SLC1A5	0.3174	0.3194	1.8150	1.8012	1.8081
SLC20A1	0.3766	0.3929	1.4668	1.3888	1.4278
SLC20A2	0.4840	0.5004	1.0475	0.9989	1.0232
SLC22A23	0.7076	0.6704	0.5637	0.6245	0.5941
SLC25A1	0.1403	0.1376	4.5846	4.6817	4.6331
SLC25A12	0.3333	0.3855	1.7095	1.4237	1.5666
SLC25A13	0.1038	0.1259	6.3246	5.1498	5.7372
SLC25A21	0.2645	0.4015	2.2562	1.3503	1.8032
SLC25A23	0.1267	0.1641	5.1160	3.8661	4.4911
SLC25A25	0.8283	0.9209	0.3934	0.2732	0.3333
SLC25A3	0.0935	0.0985	7.0606	6.6825	6.8715
SLC25A32	0.5336	0.5611	0.9087	0.8416	0.8752
SLC25A33	0.5903	0.6436	0.7768	0.6718	0.7243
SLC25A36	0.7217	0.6623	0.5418	0.6385	0.5902
SLC25A37	0.2798	0.3295	2.1115	1.7342	1.9228
SLC25A38	0.5454	0.5982	0.8794	0.7602	0.8198
SLC25A40	0.5039	0.6895	0.9889	0.5927	0.7908
SLC25A44	0.8450	0.8448	0.3717	0.3721	0.3719
SLC25A5	0.0785	0.0913	8.4745	7.2433	7.8589
SLC25A6	0.1996	0.2212	3.1134	2.7728	2.9431
SLC29A1	0.2100	0.2013	2.9398	3.0837	3.0117
SLC29A2	0.6131	0.5420	0.7299	0.8876	0.8087
SLC2A1	0.6571	0.6449	0.6476	0.6695	0.6585
SLC2A3	0.7737	0.7464	0.4665	0.5052	0.4859
SLC30A1	0.8638	0.8443	0.3477	0.3727	0.3602
SLC30A5	0.1593	0.2101	3.9950	2.9391	3.4670
SLC31A1	0.1184	0.1822	5.5016	3.4457	4.4736
SLC33A1	0.6051	0.6008	0.7460	0.7547	0.7504
SLC35A4	0.2574	0.2827	2.3293	2.0866	2.2079
SLC35B4	0.3010	0.2904	1.9357	2.0207	1.9782
SLC35C1	0.6680	0.6496	0.6286	0.6609	0.6448
SLC35C2	0.4307	0.3951	1.2304	1.3789	1.3046
SLC35F2	0.2140	0.2274	2.8785	2.6865	2.7825
SLC35F5	0.2512	0.1909	2.3966	3.2725	2.8345
SLC37A3	0.5689	0.5525	0.8237	0.8620	0.8428
SLC38A1	0.2224	0.2199	2.7554	2.7906	2.7730
SLC38A2	0.8365	0.7181	0.3828	0.5474	0.4651
SLC39A1	0.2848	0.3216	2.0681	1.7861	1.9271
SLC39A10	0.2087	0.2360	2.9614	2.5744	2.7679
SLC39A14	0.3557	0.3733	1.5766	1.4835	1.5301
SLC39A6	0.7594	0.7688	0.4865	0.4734	0.4800
SLC39A7	0.2784	0.2804	2.1247	2.1066	2.1156
SLC39A9	0.2298	0.1996	2.6543	3.1131	2.8837
SLC3A2	0.7552	0.7860	0.4925	0.4496	0.4710
SLC40A1	0.7597	0.8135	0.4861	0.4128	0.4495
SLC41A1	0.6239	0.6906	0.7088	0.5909	0.6498
SLC43A3	0.2680	0.3872	2.2219	1.4155	1.8187
SLC45A4	0.4956	0.5437	1.0129	0.8834	0.9482
SLC48A1	0.6937	0.4937	0.5858	1.0185	0.8021
SLC4A1AP	0.2863	0.3235	2.0548	1.7733	1.9141
SLC4A2	0.1407	0.1752	4.5704	3.5988	4.0846
SLC52A2	0.2340	0.2470	2.6007	2.4431	2.5219
SLC5A6	0.0897	0.1100	7.3746	5.9485	6.6616
SLC6A6	0.5138	0.4862	0.9613	1.0410	1.0011
SLC6A8	0.2740	0.3351	2.1644	1.6986	1.9315
SLC7A1	0.3583	0.4151	1.5623	1.2924	1.4274
SLC7A11	0.7582	0.7202	0.4882	0.5442	0.5162
SLC7A5	0.3015	0.3066	1.9315	1.8930	1.9122
SLC7A6	0.1567	0.1453	4.0677	4.4145	4.2411
SLC7A6OS	0.4997	0.5526	1.0008	0.8618	0.9313
SLC8B1	0.3831	0.4846	1.4351	1.0458	1.2405
SLC9A1	0.5424	0.6514	0.8866	0.6577	0.7721
SLC9A3R2	0.2064	0.2579	2.9990	2.3235	2.6613
SLCO4A1	0.5183	0.4684	0.9489	1.0971	1.0230
SLCO5A1	0.0424	0.0374	15.9795	18.1827	17.0811
SLF1	0.6286	0.5591	0.6998	0.8464	0.7731
SLF2	0.5807	0.5453	0.7976	0.8795	0.8385
SLIRP	0.0849	0.0851	7.8101	7.7922	7.8012
SLK	0.2913	0.2894	2.0131	2.0287	2.0209
SLMAP	0.2983	0.3807	1.9565	1.4467	1.7016
SLTM	0.1849	0.2347	3.3897	2.5907	2.9902
SLU7	0.3909	0.3905	1.3980	1.3999	1.3989
SLX4	0.6587	0.7397	0.6448	0.5150	0.5799
SLX4IP	0.5816	0.5920	0.7956	0.7732	0.7844
SMAD2	0.3773	0.4988	1.4633	1.0035	1.2334
SMAD3	0.7440	0.6690	0.5087	0.6269	0.5678
SMAD4	0.7008	0.4833	0.5745	1.0499	0.8122
SMAD5	0.6243	0.6212	0.7081	0.7140	0.7111
SMAP2	0.2363	0.2029	2.5710	3.0571	2.8141
SMARCA2	0.3074	0.3191	1.8868	1.8035	1.8451
SMARCA4	0.1358	0.1502	4.7485	4.2598	4.5041
SMARCA5	0.1236	0.1506	5.2547	4.2452	4.7499
SMARCAD1	0.5239	0.5375	0.9341	0.8988	0.9164
SMARCAL1	0.2306	0.2707	2.6440	2.1955	2.4198
SMARCB1	0.1143	0.1365	5.7121	4.7240	5.2181
SMARCC1	0.0779	0.0795	8.5464	8.3703	8.4584
SMARCD1	0.1913	0.2526	3.2638	2.3802	2.8220
SMARCD2	0.2643	0.2384	2.2588	2.5448	2.4018
SMC1A	0.1652	0.1947	3.8394	3.2008	3.5201
SMC2	0.1383	0.1530	4.6554	4.1736	4.4145
SMC3	0.4160	0.4354	1.2889	1.2124	1.2507
SMC4	0.1634	0.1859	3.8843	3.3708	3.6275
SMC5	0.3494	0.3100	1.6127	1.8679	1.7403
SMC6	0.1812	0.1887	3.4668	3.3153	3.3911
SMCHD1	0.2631	0.2536	2.2703	2.3698	2.3200
SMCR8	0.8474	0.8501	0.3687	0.3652	0.3669
SMG1	0.3488	0.3426	1.6159	1.6525	1.6342
SMG5	0.2382	0.2772	2.5477	2.1348	2.3413
SMG6	0.3766	0.3694	1.4666	1.5033	1.4850
SMG7	0.2381	0.2136	2.5489	2.8854	2.7171
SMG9	0.3410	0.3433	1.6620	1.6482	1.6551
SMIM12	0.5244	0.5535	0.9326	0.8596	0.8961
SMIM13	0.6916	0.7491	0.5892	0.5013	0.5452
SMIM15	0.4966	0.5300	1.0097	0.9182	0.9639
SMN1	0.5068	0.5081	0.9805	0.9770	0.9788
SMNDC1	0.5000	0.5979	0.9999	0.7608	0.8803
SMPD4	0.2667	0.2526	2.2343	2.3802	2.3072
SMS	0.0487	0.0659	13.8845	10.1656	12.0250
SMTN	0.3481	0.3069	1.6199	1.8912	1.7555
SMU1	0.1474	0.1269	4.3475	5.1081	4.7278
SMUG1	0.4831	0.4804	1.0505	1.0588	1.0546
SMURF1	0.7258	0.7198	0.5358	0.5448	0.5403
SMURF2	0.4749	0.5824	1.0760	0.7938	0.9349
SMYD3	0.3492	0.3685	1.6135	1.5081	1.5608
SMYD5	0.2478	0.2448	2.4345	2.4690	2.4518
SNAP29	0.2709	0.2626	2.1938	2.2752	2.2345
SNAP47	0.4526	0.5711	1.1504	0.8188	0.9846
SNAPC3	0.6254	0.7048	0.7059	0.5681	0.6370
SNAPC4	0.8000	0.7512	0.4307	0.4983	0.4645
SNAPC5	0.2480	0.2737	2.4325	2.1676	2.3001
SND1	0.1693	0.1667	3.7357	3.8016	3.7687
SNHG1	0.3706	0.3857	1.4974	1.4224	1.4599
SNHG12	0.5977	0.6395	0.7613	0.6793	0.7203
SNHG15	0.8045	0.7349	0.4247	0.5221	0.4734
SNHG16	0.3935	0.3844	1.3863	1.4289	1.4076
SNHG17	0.3590	0.4123	1.5587	1.3041	1.4314
SNHG5	0.2071	0.2273	2.9863	2.6878	2.8370
SNHG7	0.7722	0.7844	0.4686	0.4517	0.4602
SNHG8	0.3634	0.3612	1.5349	1.5467	1.5408
SNIP1	0.8346	0.8397	0.3851	0.3786	0.3819
SNORD3A	0.1117	0.1355	5.8493	4.7623	5.3058
SNRK	0.8381	0.8968	0.3807	0.3051	0.3429
SNRNP200	0.1479	0.1536	4.3312	4.1578	4.2445
SNRNP27	0.2657	0.2174	2.2442	2.8271	2.5357
SNRNP40	0.2224	0.2282	2.7553	2.6761	2.7157
SNRNP48	0.3820	0.4229	1.4404	1.2609	1.3507
SNRNP70	0.1965	0.1938	3.1682	3.2180	3.1931
SNRPA	0.1927	0.2244	3.2377	2.7270	2.9823
SNRPA1	0.1089	0.1156	6.0126	5.6446	5.8286
SNRPB	0.1541	0.1719	4.1407	3.6752	3.9079
SNRPC	0.0865	0.0947	7.6569	6.9672	7.3121
SNRPD1	0.1986	0.1835	3.1314	3.4200	3.2757
SNRPD3	0.1325	0.1270	4.8784	5.1014	4.9899
SNRPE	0.1083	0.1378	6.0481	4.6736	5.3608
SNRPF	0.0906	0.0876	7.2991	7.5584	7.4287
SNU13	0.1241	0.1404	5.2299	4.5819	4.9059
SNW1	0.3248	0.3288	1.7650	1.7384	1.7517
SNX1	0.1728	0.2332	3.6530	2.6107	3.1319
SNX13	0.3619	0.5008	1.5429	0.9977	1.2703
SNX18	0.5116	0.6058	0.9672	0.7445	0.8559
SNX19	0.3346	0.3847	1.7013	1.4273	1.5643
SNX3	0.0875	0.0942	7.5687	7.0044	7.2866
SNX33	0.6925	0.7744	0.5877	0.4654	0.5266
SNX5	0.2364	0.2607	2.5705	2.2945	2.4325
SNX6	0.2530	0.2005	2.3767	3.0985	2.7376
SNX8	0.5657	0.4966	0.8310	1.0098	0.9204
SNX9	0.5799	0.5537	0.7993	0.8591	0.8292
SOCS2	0.5898	0.6553	0.7778	0.6507	0.7142
SOCS4	0.9095	0.9246	0.2885	0.2682	0.2783
SOD1	0.0470	0.0358	14.4019	19.0231	16.7125
SOD2	0.2126	0.2682	2.8994	2.2200	2.5597
SOGA1	0.7491	0.7418	0.5013	0.5120	0.5066
SON	0.4830	0.5211	1.0507	0.9415	0.9961
SORBS1	0.5353	0.4465	0.9045	1.1720	1.0382
SORCS1	0.5112	0.4342	0.9683	1.2171	1.0927
SORT1	0.1530	0.1488	4.1728	4.3023	4.2376
SOS1	0.5185	0.5288	0.9485	0.9212	0.9349
SOX12	0.5547	0.5431	0.8568	0.8850	0.8709
SOX5	0.6459	0.7704	0.6676	0.4711	0.5694
SP1	0.6405	0.6898	0.6776	0.5922	0.6349
SP2	0.6831	0.6725	0.6032	0.6210	0.6121
SP3	0.7433	0.7690	0.5098	0.4730	0.4914
SPAG9	0.2048	0.2519	3.0245	2.3879	2.7062
SPAST	0.2794	0.1574	2.1157	4.0464	3.0811
SPATA5	0.3316	0.3689	1.7202	1.5060	1.6131
SPATA5L1	0.6118	0.6092	0.7324	0.7378	0.7351
SPATS2	0.4208	0.4321	1.2694	1.2250	1.2472
SPC24	0.1948	0.1939	3.1983	3.2150	3.2067
SPC25	0.1679	0.1943	3.7705	3.2079	3.4892
SPCS2	0.1788	0.1212	3.5192	5.3647	4.4420
SPCS3	0.0807	0.1017	8.2389	6.4651	7.3520
SPDL1	0.2922	0.4460	2.0059	1.1736	1.5897
SPEN	0.7502	0.7363	0.4997	0.5200	0.5099
SPG11	0.2478	0.2431	2.4337	2.4891	2.4614
SPG20	0.2724	0.2602	2.1797	2.2997	2.2397
SPG7	0.3590	0.4411	1.5586	1.1914	1.3750
SPHK1	0.3017	0.4330	1.9302	1.2216	1.5759
SPIDR	0.2125	0.2471	2.9014	2.4418	2.6716
SPIN1	0.4669	0.4917	1.1018	1.0242	1.0630
SPOP	0.4172	0.3636	1.2839	1.5340	1.4089
SPOUT1	0.3075	0.4431	1.8863	1.1843	1.5353
SPPL3	0.5093	0.6280	0.9737	0.7010	0.8374
SPRED1	0.7167	0.6657	0.5496	0.6327	0.5912
SPRED2	0.7479	0.7884	0.5030	0.4463	0.4747
SPRTN	0.7425	0.8285	0.5109	0.3932	0.4520
SPRY4	0.8242	0.8821	0.3988	0.3242	0.3615
SPTA1	0.2992	0.3323	1.9496	1.7162	1.8329
SPTB	0.1833	0.2037	3.4226	3.0426	3.2326
SPTBN1	0.1741	0.1989	3.6241	3.1250	3.3746
SPTBN2	0.2211	0.2344	2.7741	2.5955	2.6848
SPTLC1	0.1482	0.2100	4.3210	2.9407	3.6309
SPTLC2	0.3609	0.4287	1.5482	1.2381	1.3932
SPTY2D1	0.8536	0.8229	0.3608	0.4005	0.3806
SQLE	0.2293	0.2210	2.6615	2.7758	2.7187
SQSTM1	0.4265	0.4417	1.2467	1.1893	1.2180
SRA1	0.2705	0.2333	2.1975	2.6087	2.4031
SRBD1	0.4576	0.4279	1.1331	1.2413	1.1872
SREBF1	0.4941	0.5368	1.0171	0.9007	0.9589
SREBF2	0.2312	0.2353	2.6368	2.5841	2.6104
SREK1	0.3801	0.4209	1.4496	1.2688	1.3592
SREK1IP1	0.3438	0.3067	1.6453	1.8927	1.7690
SRF	0.6699	0.6507	0.6253	0.6589	0.6421
SRFBP1	0.7113	0.6810	0.5579	0.6066	0.5823
SRGAP2	0.5312	0.5552	0.9150	0.8555	0.8852
SRM	0.0845	0.0961	7.8540	6.8595	7.3567
SRP14	0.0478	0.0677	14.1581	9.8860	12.0220
SRP68	0.2943	0.3132	1.9889	1.8448	1.9168
SRP72	0.0825	0.1326	8.0519	4.8720	6.4619
SRP9	0.0817	0.0810	8.1283	8.2084	8.1683
SRPK1	0.1389	0.1274	4.6362	5.0849	4.8606
SRPK2	0.6331	0.5556	0.6913	0.8546	0.7730
SRPRA	0.2213	0.2944	2.7713	1.9880	2.3796
SRPRB	0.1717	0.1942	3.6797	3.2102	3.4450
SRRD	0.4950	0.4319	1.0145	1.2259	1.1202
SRRM1	0.2709	0.2820	2.1940	2.0927	2.1433
SRRM2	0.2823	0.2849	2.0899	2.0670	2.0785
SRRT	0.1600	0.2053	3.9756	3.0169	3.4963
SRSF1	0.1089	0.1179	6.0116	5.5251	5.7683
SRSF10	0.2496	0.3000	2.4144	1.9434	2.1789
SRSF11	0.3188	0.3146	1.8054	1.8348	1.8201
SRSF2	0.2457	0.2654	2.4580	2.2472	2.3526
SRSF3	0.1848	0.1974	3.3914	3.1529	3.2722
SRSF4	0.4758	0.4885	1.0732	1.0339	1.0535
SRSF5	0.2456	0.2574	2.4599	2.3290	2.3944
SRSF6	0.4561	0.4651	1.1384	1.1078	1.1231
SRSF7	0.2038	0.2142	3.0419	2.8754	2.9587
SRSF8	0.3707	0.4114	1.4965	1.3078	1.4021
SRSF9	0.0988	0.1233	6.6628	5.2689	5.9659
SS18	0.4098	0.4271	1.3145	1.2445	1.2795
SS18L1	0.7466	0.7106	0.5050	0.5590	0.5320
SSB	0.0527	0.0599	12.7936	11.2160	12.0048
SSBP1	0.1016	0.1079	6.4696	6.0703	6.2699
SSBP2	0.4175	0.4818	1.2824	1.0543	1.1684
SSBP3	0.2839	0.3059	2.0759	1.8980	1.9869
SSBP4	0.1802	0.1834	3.4879	3.4203	3.4541
SSFA2	0.5683	0.5611	0.8252	0.8417	0.8335
SSH2	0.6738	0.8322	0.6187	0.3883	0.5035
SSR1	0.1604	0.2191	3.9650	2.8030	3.3840
SSR2	0.1652	0.1637	3.8383	3.8766	3.8575
SSR3	0.1141	0.1231	5.7206	5.2755	5.4981
SSRP1	0.0754	0.0861	8.8370	7.7032	8.2701
SSSCA1	0.2379	0.2260	2.5513	2.7055	2.6284
SSU72	0.2294	0.2608	2.6597	2.2935	2.4766
SSX2IP	0.5212	0.5105	0.9411	0.9702	0.9556
ST13	0.0756	0.0914	8.8171	7.2289	8.0230
ST3GAL2	0.3845	0.4287	1.4281	1.2382	1.3332
ST3GAL3	0.4317	0.5355	1.2267	0.9040	1.0654
ST6GAL1	0.4218	0.4242	1.2651	1.2558	1.2604
STAG1	0.2413	0.3164	2.5105	1.8225	2.1665
STAG2	0.2199	0.2259	2.7914	2.7067	2.7490
STAM	0.4053	0.3503	1.3336	1.6073	1.4704
STAR	0.1248	0.1330	5.1999	4.8581	5.0290
STARD4	0.7764	0.6206	0.4627	0.7153	0.5890
STARD7	0.1339	0.1586	4.8232	4.0139	4.4186
STARD8	0.8117	0.8814	0.4151	0.3251	0.3701
STAT1	0.2056	0.1429	3.0123	4.4954	3.7538
STAT2	0.2245	0.2900	2.7257	2.0235	2.3746
STAT3	0.3245	0.3381	1.7671	1.6800	1.7235
STAT5A	0.2099	0.2120	2.9420	2.9096	2.9258
STAT5B	0.1541	0.1376	4.1411	4.6832	4.4122
STAU1	0.2116	0.2419	2.9154	2.5027	2.7090
STEAP1B	0.1874	0.1672	3.3405	3.7891	3.5648
STEAP3	0.2616	0.3295	2.2855	1.7340	2.0098
STIL	0.6651	0.6819	0.6336	0.6052	0.6194
STIM1	0.2662	0.2513	2.2393	2.3951	2.3172
STIM2	0.5296	0.6822	0.9191	0.6046	0.7619
STIP1	0.1723	0.1657	3.6648	3.8268	3.7458
STK11	0.3115	0.3941	1.8571	1.3834	1.6203
STK17A	0.7411	0.5958	0.5129	0.7652	0.6391
STK17B	0.8538	0.9126	0.3605	0.2844	0.3224
STK24	0.1942	0.2863	3.2107	2.0548	2.6327
STK25	0.2024	0.2147	3.0657	2.8673	2.9665
STK26	0.3013	0.3444	1.9335	1.6419	1.7877
STK3	0.5460	0.5178	0.8777	0.9503	0.9140
STK35	0.7963	0.7850	0.4356	0.4510	0.4433
STK38	0.5105	0.5653	0.9703	0.8320	0.9012
STK4	0.5294	0.5194	0.9196	0.9460	0.9328
STK40	0.2538	0.3213	2.3681	1.7883	2.0782
STMN1	0.0743	0.0887	8.9811	7.4651	8.2231
STMN3	0.1466	0.1646	4.3739	3.8541	4.1140
STON2	0.5686	0.5994	0.8245	0.7577	0.7911
STRAP	0.0974	0.1145	6.7623	5.6987	6.2305
STRBP	0.1201	0.1475	5.4163	4.3426	4.8795
STRIP1	0.5800	0.6180	0.7989	0.7202	0.7596
STRIP2	0.5059	0.5311	0.9832	0.9153	0.9492
STRN	0.2884	0.3362	2.0369	1.6918	1.8644
STRN3	0.8290	0.7751	0.3924	0.4646	0.4285
STRN4	0.4810	0.4936	1.0569	1.0187	1.0378
STT3A	0.1107	0.1271	5.9059	5.0975	5.5017
STT3B	0.1214	0.1236	5.3572	5.2530	5.3051
STUB1	0.0998	0.1076	6.5956	6.0911	6.3434
STX18	0.4270	0.4427	1.2449	1.1856	1.2152
STX2	0.4422	0.4959	1.1873	1.0120	1.0996
STX3	0.2180	0.2622	2.8189	2.2795	2.5492
STXBP5	0.4408	0.4511	1.1926	1.1555	1.1741
SUB1	0.0757	0.1018	8.8109	6.4555	7.6332
SUCLG1	0.1470	0.1386	4.3609	4.6455	4.5032
SUCLG2	0.3255	0.1467	1.7600	4.3692	3.0646
SUCO	0.6653	0.6952	0.6333	0.5834	0.6083
SUDS3	0.1969	0.2492	3.1603	2.4186	2.7894
SUGP1	0.3919	0.4366	1.3934	1.2080	1.3007
SUGP2	0.3739	0.4298	1.4805	1.2338	1.3572
SUGT1	0.0861	0.1946	7.7013	3.2024	5.4518
SUMO2	0.1395	0.1463	4.6151	4.3815	4.4983
SUMO3	0.1257	0.1592	5.1615	3.9961	4.5788
SUN1	0.3278	0.3071	1.7449	1.8892	1.8170
SUPT16H	0.1844	0.1734	3.4003	3.6403	3.5203
SUPT5H	0.1941	0.2342	3.2120	2.5974	2.9047
SUPT6H	0.2687	0.2762	2.2147	2.1445	2.1796
SUPT7L	0.4119	0.4404	1.3055	1.1941	1.2498
SUPV3L1	0.2873	0.2544	2.0462	2.3610	2.2036
SURF4	0.1569	0.1695	4.0609	3.7309	3.8959
SURF6	0.6377	0.6349	0.6828	0.6879	0.6853
SUSD1	0.4104	0.3610	1.3119	1.5478	1.4299
SUSD6	0.8936	0.8823	0.3093	0.3240	0.3166
SUV39H1	0.7904	0.7708	0.4436	0.4705	0.4570
SUV39H2	0.4573	0.5710	1.1340	0.8190	0.9765
SUZ12	0.4513	0.4708	1.1548	1.0891	1.1219
